,Country of Origin,Years of Top 5 Status
0,Various/Unknown,30
1,Angola,23
2,Dem. Rep. of the Congo,20
3,Liberia,20
4,Colombia,11
5,Cuba,9
6,Haiti,7
7,Sierra Leone,6
8,Romania,4
9,Senegal,4
10,Chile,4
11,Syrian Arab Rep.,3
12,Viet Nam,3
13,Bangladesh,2
14,Iraq,2
15,Nigeria,1
16,Venezuela (Bolivarian Republic of),1
17,Uruguay,1
