,Destination Country,Years of Top 3 Status
0,United States of America,24
1,Canada,23
2,Germany,12
3,Italy,11
4,Australia,6
5,Sweden,6
6,Chile,2
7,Denmark,2
8,Brazil,1
9,Mexico,1
