,Year,Country,Total Population,New Pop,Histogram
355,1971,Chile,2000.0,200.0,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
356,1971,,,,
357,1971,,,,
358,1971,,,,
359,1971,,,,
360,1972,Chile,2000.0,200.0,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
361,1972,,,,
362,1972,,,,
363,1972,,,,
364,1972,,,,
365,1973,,,,
366,1973,,,,
367,1973,,,,
368,1973,,,,
369,1973,,,,
370,1974,,,,
371,1974,,,,
372,1974,,,,
373,1974,,,,
374,1974,,,,
375,1975,,,,
376,1975,,,,
377,1975,,,,
378,1975,,,,
379,1975,,,,
380,1976,,,,
381,1976,,,,
382,1976,,,,
383,1976,,,,
384,1976,,,,
385,1977,,,,
386,1977,,,,
387,1977,,,,
388,1977,,,,
389,1977,,,,
390,1978,,,,
391,1978,,,,
392,1978,,,,
393,1978,,,,
394,1978,,,,
395,1979,,,,
396,1979,,,,
397,1979,,,,
398,1979,,,,
399,1979,,,,
400,1980,Italy,5.0,0.5,|||||
401,1980,,,,
402,1980,,,,
403,1980,,,,
404,1980,,,,
405,1981,Italy,5.0,0.5,|||||
406,1981,,,,
407,1981,,,,
408,1981,,,,
409,1981,,,,
410,1982,Italy,5.0,0.5,|||||
411,1982,,,,
412,1982,,,,
413,1982,,,,
414,1982,,,,
415,1983,Italy,5.0,0.5,|||||
416,1983,,,,
417,1983,,,,
418,1983,,,,
419,1983,,,,
420,1984,Italy,5.0,0.5,|||||
421,1984,,,,
422,1984,,,,
423,1984,,,,
424,1984,,,,
425,1985,Italy,5.0,0.5,|||||
426,1985,,,,
427,1985,,,,
428,1985,,,,
429,1985,,,,
430,1986,Italy,3.0,0.3,|||
431,1986,,,,
432,1986,,,,
433,1986,,,,
434,1986,,,,
435,1987,Italy,1.0,0.1,|
436,1987,,,,
437,1987,,,,
438,1987,,,,
439,1987,,,,
440,1988,Italy,1.0,0.1,|
441,1988,,,,
442,1988,,,,
443,1988,,,,
444,1988,,,,
445,1989,Denmark,6.0,0.6,||||||
446,1989,,,,
447,1989,,,,
448,1989,,,,
449,1989,,,,
450,1990,Sweden,10.0,1.0,||||||||||
451,1990,Denmark,4.0,0.4,||||
452,1990,,,,
453,1990,,,,
454,1990,,,,
455,1991,Sweden,11.0,1.1,|||||||||||
456,1991,,,,
457,1991,,,,
458,1991,,,,
459,1991,,,,
460,1992,Sweden,11.0,1.1,|||||||||||
461,1992,,,,
462,1992,,,,
463,1992,,,,
464,1992,,,,
465,1993,Sweden,9.0,0.9,|||||||||
466,1993,United States of America,2.0,0.2,||
467,1993,Mexico,1.0,0.1,|
468,1993,,,,
469,1993,,,,
470,1994,Canada,27.0,2.7,|||||||||||||||||||||||||||
471,1994,Sweden,9.0,0.9,|||||||||
472,1994,United States of America,4.0,0.4,||||
473,1994,Cuba,3.0,0.3,|||
474,1994,Mexico,1.0,0.1,|
475,1995,Canada,24.0,2.4,||||||||||||||||||||||||
476,1995,United States of America,21.0,2.1,|||||||||||||||||||||
477,1995,Sweden,7.0,0.7,|||||||
478,1995,Mexico,6.0,0.6,||||||
479,1995,Morocco,1.0,0.1,|
480,1996,United States of America,46.0,4.6,||||||||||||||||||||||||||||||||||||||||||||||
481,1996,Canada,20.0,2.0,||||||||||||||||||||
482,1996,Australia,11.0,1.1,|||||||||||
483,1996,Sweden,7.0,0.7,|||||||
484,1996,Morocco,1.0,0.1,|
485,1997,United States of America,60.0,6.0,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
486,1997,Canada,20.0,2.0,||||||||||||||||||||
487,1997,Australia,16.0,1.6,||||||||||||||||
488,1997,Sweden,7.0,0.7,|||||||
489,1997,Morocco,1.0,0.1,|
490,1998,United States of America,90.0,9.0,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
491,1998,Australia,19.0,1.9,|||||||||||||||||||
492,1998,Canada,18.0,1.8,||||||||||||||||||
493,1998,Sweden,7.0,0.7,|||||||
494,1998,Belgium,2.0,0.2,||
495,1999,United States of America,151.0,15.1,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
496,1999,Canada,19.0,1.9,|||||||||||||||||||
497,1999,Australia,17.0,1.7,|||||||||||||||||
498,1999,Sweden,7.0,0.7,|||||||
499,1999,Belgium,2.0,0.2,||
500,2000,United States of America,746.0,74.6,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
501,2000,Canada,87.0,8.7,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
502,2000,Australia,31.0,3.1,|||||||||||||||||||||||||||||||
503,2000,Netherlands,4.0,0.4,||||
504,2000,Belgium,2.0,0.2,||
505,2001,United States of America,763.0,76.3,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
506,2001,Canada,236.0,23.6,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
507,2001,Australia,40.0,4.0,||||||||||||||||||||||||||||||||||||||||
508,2001,Switzerland,7.0,0.7,|||||||
509,2001,Netherlands,4.0,0.4,||||
