| COD_UF_NASCIMENTO | UF_NASCIMENTO | COD_UF_RESIDENCIA | UF_RESIDENCIA | POPULACAO
LINESTRING(-36.83176 -7.12057 , -39.6022 -5.1071 )| 23| Ceara | 25| Paraiba | 22798
LINESTRING(-36.83177 -7.12058 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 25| Paraiba | 48577
LINESTRING(-36.83178 -7.12059 , -37.97914 -8.32349 )| 26| Pernambuco | 25| Paraiba | 102299
LINESTRING(-36.83179 -7.12060 , -36.62442 -9.51445 )| 27| Alagoas | 25| Paraiba | 5212
LINESTRING(-36.83180 -7.12061 , -37.44905 -10.58073 )| 28| Sergipe | 25| Paraiba | 1386
LINESTRING(-36.83181 -7.12062 , -41.70232 -12.46848 )| 29| Bahia | 25| Paraiba | 9348
LINESTRING(-36.83182 -7.12063 , -44.6785 -18.46074 )| 31| Minas Gerais | 25| Paraiba | 3911
LINESTRING(-36.83183 -7.12064 , -40.67183 -19.57655 )| 32| Espirito Santo | 25| Paraiba | 608
LINESTRING(-36.83184 -7.12065 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 25| Paraiba | 33437
LINESTRING(-36.83185 -7.12066 , -48.72468 -22.27655 )| 35| Sao Paulo | 25| Paraiba | 38761
LINESTRING(-36.83186 -7.12067 , -51.62113 -24.63245 )| 41| Parana | 25| Paraiba | 2011
LINESTRING(-36.83187 -7.12068 , -50.49239 -27.24414 )| 42| Santa Catarina | 25| Paraiba | 534
LINESTRING(-36.83188 -7.12069 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 25| Paraiba | 2692
LINESTRING(-36.83189 -7.12070 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 25| Paraiba | 808
LINESTRING(-36.83190 -7.12071 , -55.90972 -12.94403 )| 51| Mato Grosso | 25| Paraiba | 471
LINESTRING(-36.83191 -7.12072 , -49.61787 -16.03579 )| 52| Goias | 25| Paraiba | 2027
LINESTRING(-36.83192 -7.12073 , -47.7973 -15.78271 )| 53| Distrito Federal | 25| Paraiba | 6531
LINESTRING(-37.97914 -8.32349 , -62.83912 -10.91219 )| 11| Rondonia | 26| Pernambuco | 835
LINESTRING(-37.97915 -8.32350 , -70.44996 -9.30596 )| 12| Acre | 26| Pernambuco | 391
LINESTRING(-37.97916 -8.32351 , -64.69338 -4.18811 )| 13| Amazonas | 26| Pernambuco | 2810
LINESTRING(-37.97917 -8.32352 , -61.39542 2.08035 )| 14| Roraima | 26| Pernambuco | 215
LINESTRING(-37.97918 -8.32353 , -53.08359 -3.94833 )| 15| Para | 26| Pernambuco | 5453
LINESTRING(-37.97919 -8.32354 , -51.93312 1.46375 )| 16| Amapa | 26| Pernambuco | 288
LINESTRING(-37.97920 -8.32355 , -48.31198 -10.1507 )| 17| Tocantins | 26| Pernambuco | 608
LINESTRING(-37.97921 -8.32356 , -45.27821 -5.07629 )| 21| Maranhao | 26| Pernambuco | 7626
LINESTRING(-37.97922 -8.32357 , -42.96225 -7.36778 )| 22| Piaui | 26| Pernambuco | 20412
LINESTRING(-37.97923 -8.32358 , -39.6022 -5.1071 )| 23| Ceara | 26| Pernambuco | 54802
LINESTRING(-37.97924 -8.32359 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 26| Pernambuco | 21735
LINESTRING(-37.97925 -8.32360 , -36.83167 -7.12048 )| 25| Paraiba | 26| Pernambuco | 130017
LINESTRING(-37.97926 -8.32361 , -36.62442 -9.51445 )| 27| Alagoas | 26| Pernambuco | 81885
LINESTRING(-37.97927 -8.32362 , -37.44905 -10.58073 )| 28| Sergipe | 26| Pernambuco | 5105
LINESTRING(-37.97928 -8.32363 , -41.70232 -12.46848 )| 29| Bahia | 26| Pernambuco | 67729
LINESTRING(-37.97929 -8.32364 , -44.6785 -18.46074 )| 31| Minas Gerais | 26| Pernambuco | 8087
LINESTRING(-37.97930 -8.32365 , -40.67183 -19.57655 )| 32| Espirito Santo | 26| Pernambuco | 1032
LINESTRING(-37.97931 -8.32366 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 26| Pernambuco | 27773
LINESTRING(-37.97932 -8.32367 , -48.72468 -22.27655 )| 35| Sao Paulo | 26| Pernambuco | 102188
LINESTRING(-37.97933 -8.32368 , -51.62113 -24.63245 )| 41| Parana | 26| Pernambuco | 6701
LINESTRING(-37.97934 -8.32369 , -50.49239 -27.24414 )| 42| Santa Catarina | 26| Pernambuco | 1069
LINESTRING(-37.97935 -8.32370 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 26| Pernambuco | 4457
LINESTRING(-37.97936 -8.32371 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 26| Pernambuco | 1296
LINESTRING(-37.97937 -8.32372 , -55.90972 -12.94403 )| 51| Mato Grosso | 26| Pernambuco | 1405
LINESTRING(-37.97938 -8.32373 , -49.61787 -16.03579 )| 52| Goias | 26| Pernambuco | 2550
LINESTRING(-37.97939 -8.32374 , -47.7973 -15.78271 )| 53| Distrito Federal | 26| Pernambuco | 4942
LINESTRING(-36.62442 -9.51445 , -62.83912 -10.91219 )| 11| Rondonia | 27| Alagoas | 240
LINESTRING(-36.62443 -9.51446 , -70.44996 -9.30596 )| 12| Acre | 27| Alagoas | 121
LINESTRING(-36.62444 -9.51447 , -64.69338 -4.18811 )| 13| Amazonas | 27| Alagoas | 423
LINESTRING(-36.62445 -9.51448 , -61.39542 2.08035 )| 14| Roraima | 27| Alagoas | 72
LINESTRING(-36.62446 -9.51449 , -53.08359 -3.94833 )| 15| Para | 27| Alagoas | 896
LINESTRING(-36.62447 -9.51450 , -51.93312 1.46375 )| 16| Amapa | 27| Alagoas | 39
LINESTRING(-36.62448 -9.51451 , -48.31198 -10.1507 )| 17| Tocantins | 27| Alagoas | 157
LINESTRING(-36.62449 -9.51452 , -45.27821 -5.07629 )| 21| Maranhao | 27| Alagoas | 1023
LINESTRING(-36.62450 -9.51453 , -42.96225 -7.36778 )| 22| Piaui | 27| Alagoas | 998
LINESTRING(-36.62451 -9.51454 , -39.6022 -5.1071 )| 23| Ceara | 27| Alagoas | 5855
LINESTRING(-36.62452 -9.51455 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 27| Alagoas | 2175
LINESTRING(-36.62453 -9.51456 , -36.83167 -7.12048 )| 25| Paraiba | 27| Alagoas | 9528
LINESTRING(-36.62454 -9.51457 , -37.97914 -8.32349 )| 26| Pernambuco | 27| Alagoas | 122817
LINESTRING(-36.62455 -9.51458 , -37.44905 -10.58073 )| 28| Sergipe | 27| Alagoas | 15419
LINESTRING(-36.62456 -9.51459 , -41.70232 -12.46848 )| 29| Bahia | 27| Alagoas | 18887
LINESTRING(-36.62457 -9.51460 , -44.6785 -18.46074 )| 31| Minas Gerais | 27| Alagoas | 2603
LINESTRING(-36.62458 -9.51461 , -40.67183 -19.57655 )| 32| Espirito Santo | 27| Alagoas | 674
LINESTRING(-36.62459 -9.51462 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 27| Alagoas | 7155
LINESTRING(-36.62460 -9.51463 , -48.72468 -22.27655 )| 35| Sao Paulo | 27| Alagoas | 36319
LINESTRING(-36.62461 -9.51464 , -51.62113 -24.63245 )| 41| Parana | 27| Alagoas | 3585
LINESTRING(-36.62462 -9.51465 , -50.49239 -27.24414 )| 42| Santa Catarina | 27| Alagoas | 392
LINESTRING(-36.62463 -9.51466 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 27| Alagoas | 1384
LINESTRING(-36.62464 -9.51467 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 27| Alagoas | 611
LINESTRING(-36.62465 -9.51468 , -55.90972 -12.94403 )| 51| Mato Grosso | 27| Alagoas | 1043
LINESTRING(-36.62466 -9.51469 , -49.61787 -16.03579 )| 52| Goias | 27| Alagoas | 643
LINESTRING(-36.62467 -9.51470 , -47.7973 -15.78271 )| 53| Distrito Federal | 27| Alagoas | 713
LINESTRING(-37.44905 -10.58073 , -62.83912 -10.91219 )| 11| Rondonia | 28| Sergipe | 251
LINESTRING(-37.44906 -10.58074 , -70.44996 -9.30596 )| 12| Acre | 28| Sergipe | 120
LINESTRING(-37.44907 -10.58075 , -64.69338 -4.18811 )| 13| Amazonas | 28| Sergipe | 743
LINESTRING(-37.44908 -10.58076 , -61.39542 2.08035 )| 14| Roraima | 28| Sergipe | 6
LINESTRING(-37.44909 -10.58077 , -53.08359 -3.94833 )| 15| Para | 28| Sergipe | 991
LINESTRING(-37.44910 -10.58078 , -51.93312 1.46375 )| 16| Amapa | 28| Sergipe | 213
LINESTRING(-37.44911 -10.58079 , -48.31198 -10.1507 )| 17| Tocantins | 28| Sergipe | 87
LINESTRING(-37.44912 -10.58080 , -45.27821 -5.07629 )| 21| Maranhao | 28| Sergipe | 1169
LINESTRING(-37.44913 -10.58081 , -42.96225 -7.36778 )| 22| Piaui | 28| Sergipe | 1442
LINESTRING(-37.44914 -10.58082 , -39.6022 -5.1071 )| 23| Ceara | 28| Sergipe | 3481
LINESTRING(-37.44915 -10.58083 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 28| Sergipe | 1809
LINESTRING(-37.44916 -10.58084 , -36.83167 -7.12048 )| 25| Paraiba | 28| Sergipe | 4500
LINESTRING(-37.44917 -10.58085 , -37.97914 -8.32349 )| 26| Pernambuco | 28| Sergipe | 19503
LINESTRING(-37.44918 -10.58086 , -36.62442 -9.51445 )| 27| Alagoas | 28| Sergipe | 68929
LINESTRING(-37.44919 -10.58087 , -41.70232 -12.46848 )| 29| Bahia | 28| Sergipe | 72273
LINESTRING(-37.44920 -10.58088 , -44.6785 -18.46074 )| 31| Minas Gerais | 28| Sergipe | 3281
LINESTRING(-37.44921 -10.58089 , -40.67183 -19.57655 )| 32| Espirito Santo | 28| Sergipe | 501
LINESTRING(-37.44922 -10.58090 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 28| Sergipe | 8823
LINESTRING(-37.44923 -10.58091 , -48.72468 -22.27655 )| 35| Sao Paulo | 28| Sergipe | 26696
LINESTRING(-37.44924 -10.58092 , -51.62113 -24.63245 )| 41| Parana | 28| Sergipe | 2949
LINESTRING(-37.44925 -10.58093 , -50.49239 -27.24414 )| 42| Santa Catarina | 28| Sergipe | 398
LINESTRING(-37.44926 -10.58094 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 28| Sergipe | 1346
LINESTRING(-37.44927 -10.58095 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 28| Sergipe | 672
LINESTRING(-37.44928 -10.58096 , -55.90972 -12.94403 )| 51| Mato Grosso | 28| Sergipe | 674
LINESTRING(-37.44929 -10.58097 , -49.61787 -16.03579 )| 52| Goias | 28| Sergipe | 631
LINESTRING(-37.44930 -10.58098 , -47.7973 -15.78271 )| 53| Distrito Federal | 28| Sergipe | 1404
LINESTRING(-41.70232 -12.46848 , -62.83912 -10.91219 )| 11| Rondonia | 29| Bahia | 1392
LINESTRING(-41.70233 -12.46849 , -70.44996 -9.30596 )| 12| Acre | 29| Bahia | 526
LINESTRING(-41.70234 -12.46850 , -64.69338 -4.18811 )| 13| Amazonas | 29| Bahia | 2156
LINESTRING(-41.70235 -12.46851 , -61.39542 2.08035 )| 14| Roraima | 29| Bahia | 328
LINESTRING(-41.70236 -12.46852 , -53.08359 -3.94833 )| 15| Para | 29| Bahia | 7182
LINESTRING(-41.70237 -12.46853 , -51.93312 1.46375 )| 16| Amapa | 29| Bahia | 375
LINESTRING(-41.70238 -12.46854 , -48.31198 -10.1507 )| 17| Tocantins | 29| Bahia | 2515
LINESTRING(-41.70239 -12.46855 , -45.27821 -5.07629 )| 21| Maranhao | 29| Bahia | 9597
LINESTRING(-41.70240 -12.46856 , -42.96225 -7.36778 )| 22| Piaui | 29| Bahia | 19118
LINESTRING(-41.70241 -12.46857 , -39.6022 -5.1071 )| 23| Ceara | 29| Bahia | 47047
LINESTRING(-41.70242 -12.46858 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 29| Bahia | 10652
LINESTRING(-41.70243 -12.46859 , -36.83167 -7.12048 )| 25| Paraiba | 29| Bahia | 35808
LINESTRING(-41.70244 -12.46860 , -37.97914 -8.32349 )| 26| Pernambuco | 29| Bahia | 134300
LINESTRING(-41.70245 -12.46861 , -36.62442 -9.51445 )| 27| Alagoas | 29| Bahia | 43087
LINESTRING(-41.70246 -12.46862 , -37.44905 -10.58073 )| 28| Sergipe | 29| Bahia | 79303
LINESTRING(-41.70247 -12.46863 , -44.6785 -18.46074 )| 31| Minas Gerais | 29| Bahia | 109399
LINESTRING(-41.70248 -12.46864 , -40.67183 -19.57655 )| 32| Espirito Santo | 29| Bahia | 33598
LINESTRING(-41.70249 -12.46865 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 29| Bahia | 38113
LINESTRING(-41.70250 -12.46866 , -48.72468 -22.27655 )| 35| Sao Paulo | 29| Bahia | 189264
LINESTRING(-41.70251 -12.46867 , -51.62113 -24.63245 )| 41| Parana | 29| Bahia | 17461
LINESTRING(-41.70252 -12.46868 , -50.49239 -27.24414 )| 42| Santa Catarina | 29| Bahia | 3914
LINESTRING(-41.70253 -12.46869 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 29| Bahia | 13963
LINESTRING(-41.70254 -12.46870 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 29| Bahia | 2668
LINESTRING(-41.70255 -12.46871 , -55.90972 -12.94403 )| 51| Mato Grosso | 29| Bahia | 3662
LINESTRING(-41.70256 -12.46872 , -49.61787 -16.03579 )| 52| Goias | 29| Bahia | 16724
LINESTRING(-41.70257 -12.46873 , -47.7973 -15.78271 )| 53| Distrito Federal | 29| Bahia | 16661
LINESTRING(-44.6785 -18.46074 , -62.83912 -10.91219 )| 11| Rondonia | 31| Minas Gerais | 4917
LINESTRING(-44.6786 -18.46075 , -70.44996 -9.30596 )| 12| Acre | 31| Minas Gerais | 1117
LINESTRING(-44.6787 -18.46076 , -64.69338 -4.18811 )| 13| Amazonas | 31| Minas Gerais | 3127
LINESTRING(-44.6788 -18.46077 , -61.39542 2.08035 )| 14| Roraima | 31| Minas Gerais | 363
LINESTRING(-44.6789 -18.46078 , -53.08359 -3.94833 )| 15| Para | 31| Minas Gerais | 15296
LINESTRING(-44.6790 -18.46079 , -51.93312 1.46375 )| 16| Amapa | 31| Minas Gerais | 772
LINESTRING(-44.6791 -18.46080 , -48.31198 -10.1507 )| 17| Tocantins | 31| Minas Gerais | 5988
LINESTRING(-44.6792 -18.46081 , -45.27821 -5.07629 )| 21| Maranhao | 31| Minas Gerais | 27803
LINESTRING(-44.6793 -18.46082 , -42.96225 -7.36778 )| 22| Piaui | 31| Minas Gerais | 14712
LINESTRING(-44.6794 -18.46083 , -39.6022 -5.1071 )| 23| Ceara | 31| Minas Gerais | 37568
LINESTRING(-44.6795 -18.46084 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 31| Minas Gerais | 22223
LINESTRING(-44.6796 -18.46085 , -36.83167 -7.12048 )| 25| Paraiba | 31| Minas Gerais | 21476
LINESTRING(-44.6797 -18.46086 , -37.97914 -8.32349 )| 26| Pernambuco | 31| Minas Gerais | 39232
LINESTRING(-44.6798 -18.46087 , -36.62442 -9.51445 )| 27| Alagoas | 31| Minas Gerais | 31533
LINESTRING(-44.6799 -18.46088 , -37.44905 -10.58073 )| 28| Sergipe | 31| Minas Gerais | 8705
LINESTRING(-44.6800 -18.46089 , -41.70232 -12.46848 )| 29| Bahia | 31| Minas Gerais | 181416
LINESTRING(-44.6801 -18.46090 , -40.67183 -19.57655 )| 32| Espirito Santo | 31| Minas Gerais | 85417
LINESTRING(-44.6802 -18.46091 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 31| Minas Gerais | 156256
LINESTRING(-44.6803 -18.46092 , -48.72468 -22.27655 )| 35| Sao Paulo | 31| Minas Gerais | 432236
LINESTRING(-44.6804 -18.46093 , -51.62113 -24.63245 )| 41| Parana | 31| Minas Gerais | 72258
LINESTRING(-44.6805 -18.46094 , -50.49239 -27.24414 )| 42| Santa Catarina | 31| Minas Gerais | 7042
LINESTRING(-44.6806 -18.46095 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 31| Minas Gerais | 14920
LINESTRING(-44.6807 -18.46096 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 31| Minas Gerais | 8343
LINESTRING(-44.6808 -18.46097 , -55.90972 -12.94403 )| 51| Mato Grosso | 31| Minas Gerais | 11884
LINESTRING(-44.6809 -18.46098 , -49.61787 -16.03579 )| 52| Goias | 31| Minas Gerais | 101795
LINESTRING(-44.6810 -18.46099 , -47.7973 -15.78271 )| 53| Distrito Federal | 31| Minas Gerais | 32830
LINESTRING(-40.67183 -19.57655 , -62.83912 -10.91219 )| 11| Rondonia | 32| Espirito Santo | 4678
LINESTRING(-40.67184 -19.57656 , -70.44996 -9.30596 )| 12| Acre | 32| Espirito Santo | 493
LINESTRING(-40.67185 -19.57657 , -64.69338 -4.18811 )| 13| Amazonas | 32| Espirito Santo | 1113
LINESTRING(-40.67186 -19.57658 , -61.39542 2.08035 )| 14| Roraima | 32| Espirito Santo | 161
LINESTRING(-40.67187 -19.57659 , -53.08359 -3.94833 )| 15| Para | 32| Espirito Santo | 4963
LINESTRING(-40.67188 -19.57660 , -51.93312 1.46375 )| 16| Amapa | 32| Espirito Santo | 319
LINESTRING(-40.67189 -19.57661 , -48.31198 -10.1507 )| 17| Tocantins | 32| Espirito Santo | 347
LINESTRING(-40.67190 -19.57662 , -45.27821 -5.07629 )| 21| Maranhao | 32| Espirito Santo | 5243
LINESTRING(-40.67191 -19.57663 , -42.96225 -7.36778 )| 22| Piaui | 32| Espirito Santo | 2032
LINESTRING(-40.67192 -19.57664 , -39.6022 -5.1071 )| 23| Ceara | 32| Espirito Santo | 8971
LINESTRING(-40.67193 -19.57665 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 32| Espirito Santo | 1978
LINESTRING(-40.67194 -19.57666 , -36.83167 -7.12048 )| 25| Paraiba | 32| Espirito Santo | 4145
LINESTRING(-40.67195 -19.57667 , -37.97914 -8.32349 )| 26| Pernambuco | 32| Espirito Santo | 8806
LINESTRING(-40.67196 -19.57668 , -36.62442 -9.51445 )| 27| Alagoas | 32| Espirito Santo | 7871
LINESTRING(-40.67197 -19.57669 , -37.44905 -10.58073 )| 28| Sergipe | 32| Espirito Santo | 3105
LINESTRING(-40.67198 -19.57670 , -41.70232 -12.46848 )| 29| Bahia | 32| Espirito Santo | 155407
LINESTRING(-40.67199 -19.57671 , -44.6785 -18.46074 )| 31| Minas Gerais | 32| Espirito Santo | 286888
LINESTRING(-40.67200 -19.57672 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 32| Espirito Santo | 98246
LINESTRING(-40.67201 -19.57673 , -48.72468 -22.27655 )| 35| Sao Paulo | 32| Espirito Santo | 29975
LINESTRING(-40.67202 -19.57674 , -51.62113 -24.63245 )| 41| Parana | 32| Espirito Santo | 7779
LINESTRING(-40.67203 -19.57675 , -50.49239 -27.24414 )| 42| Santa Catarina | 32| Espirito Santo | 1615
LINESTRING(-40.67204 -19.57676 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 32| Espirito Santo | 4673
LINESTRING(-40.67205 -19.57677 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 32| Espirito Santo | 1542
LINESTRING(-40.67206 -19.57678 , -55.90972 -12.94403 )| 51| Mato Grosso | 32| Espirito Santo | 1767
LINESTRING(-40.67207 -19.57679 , -49.61787 -16.03579 )| 52| Goias | 32| Espirito Santo | 2287
LINESTRING(-40.67208 -19.57680 , -47.7973 -15.78271 )| 53| Distrito Federal | 32| Espirito Santo | 4115
LINESTRING(-42.65502 -22.19074 , -62.83912 -10.91219 )| 11| Rondonia | 33| Rio de Janeiro | 2807
LINESTRING(-42.65503 -22.19075 , -70.44996 -9.30596 )| 12| Acre | 33| Rio de Janeiro | 2962
LINESTRING(-42.65504 -22.19076 , -64.69338 -4.18811 )| 13| Amazonas | 33| Rio de Janeiro | 15116
LINESTRING(-42.65505 -22.19077 , -61.39542 2.08035 )| 14| Roraima | 33| Rio de Janeiro | 723
LINESTRING(-42.65506 -22.19078 , -53.08359 -3.94833 )| 15| Para | 33| Rio de Janeiro | 44118
LINESTRING(-42.65507 -22.19079 , -51.93312 1.46375 )| 16| Amapa | 33| Rio de Janeiro | 1078
LINESTRING(-42.65508 -22.19080 , -48.31198 -10.1507 )| 17| Tocantins | 33| Rio de Janeiro | 1298
LINESTRING(-42.65509 -22.19081 , -45.27821 -5.07629 )| 21| Maranhao | 33| Rio de Janeiro | 80581
LINESTRING(-42.65510 -22.19082 , -42.96225 -7.36778 )| 22| Piaui | 33| Rio de Janeiro | 32950
LINESTRING(-42.65511 -22.19083 , -39.6022 -5.1071 )| 23| Ceara | 33| Rio de Janeiro | 196804
LINESTRING(-42.65512 -22.19084 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 33| Rio de Janeiro | 68620
LINESTRING(-42.65513 -22.19085 , -36.83167 -7.12048 )| 25| Paraiba | 33| Rio de Janeiro | 307653
LINESTRING(-42.65514 -22.19086 , -37.97914 -8.32349 )| 26| Pernambuco | 33| Rio de Janeiro | 189362
LINESTRING(-42.65515 -22.19087 , -36.62442 -9.51445 )| 27| Alagoas | 33| Rio de Janeiro | 49367
LINESTRING(-42.65516 -22.19088 , -37.44905 -10.58073 )| 28| Sergipe | 33| Rio de Janeiro | 38450
LINESTRING(-42.65517 -22.19089 , -41.70232 -12.46848 )| 29| Bahia | 33| Rio de Janeiro | 185904
LINESTRING(-42.65518 -22.19090 , -44.6785 -18.46074 )| 31| Minas Gerais | 33| Rio de Janeiro | 480226
LINESTRING(-42.65519 -22.19091 , -40.67183 -19.57655 )| 32| Espirito Santo | 33| Rio de Janeiro | 179724
LINESTRING(-42.65520 -22.19092 , -48.72468 -22.27655 )| 35| Sao Paulo | 33| Rio de Janeiro | 145933
LINESTRING(-42.65521 -22.19093 , -51.62113 -24.63245 )| 41| Parana | 33| Rio de Janeiro | 26478
LINESTRING(-42.65522 -22.19094 , -50.49239 -27.24414 )| 42| Santa Catarina | 33| Rio de Janeiro | 13435
LINESTRING(-42.65523 -22.19095 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 33| Rio de Janeiro | 38410
LINESTRING(-42.65524 -22.19096 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 33| Rio de Janeiro | 11646
LINESTRING(-42.65525 -22.19097 , -55.90972 -12.94403 )| 51| Mato Grosso | 33| Rio de Janeiro | 6859
LINESTRING(-42.65526 -22.19098 , -49.61787 -16.03579 )| 52| Goias | 33| Rio de Janeiro | 10297
LINESTRING(-42.65527 -22.19099 , -47.7973 -15.78271 )| 53| Distrito Federal | 33| Rio de Janeiro | 16385
LINESTRING(-48.72468 -22.27655 , -62.83912 -10.91219 )| 11| Rondonia | 35| Sao Paulo | 14929
LINESTRING(-48.72469 -22.27656 , -70.44996 -9.30596 )| 12| Acre | 35| Sao Paulo | 2996
LINESTRING(-48.72470 -22.27657 , -64.69338 -4.18811 )| 13| Amazonas | 35| Sao Paulo | 10964
LINESTRING(-48.72471 -22.27658 , -61.39542 2.08035 )| 14| Roraima | 35| Sao Paulo | 1304
LINESTRING(-48.72472 -22.27659 , -53.08359 -3.94833 )| 15| Para | 35| Sao Paulo | 53534
LINESTRING(-48.72473 -22.27660 , -51.93312 1.46375 )| 16| Amapa | 35| Sao Paulo | 2785
LINESTRING(-48.72474 -22.27661 , -48.31198 -10.1507 )| 17| Tocantins | 35| Sao Paulo | 8629
LINESTRING(-48.72475 -22.27662 , -45.27821 -5.07629 )| 21| Maranhao | 35| Sao Paulo | 163447
LINESTRING(-48.72476 -22.27663 , -42.96225 -7.36778 )| 22| Piaui | 35| Sao Paulo | 278511
LINESTRING(-48.72477 -22.27664 , -39.6022 -5.1071 )| 23| Ceara | 35| Sao Paulo | 487620
LINESTRING(-48.72478 -22.27665 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 35| Sao Paulo | 122755
LINESTRING(-48.72479 -22.27666 , -36.83167 -7.12048 )| 25| Paraiba | 35| Sao Paulo | 349791
LINESTRING(-48.72480 -22.27667 , -37.97914 -8.32349 )| 26| Pernambuco | 35| Sao Paulo | 987689
LINESTRING(-48.72481 -22.27668 , -36.62442 -9.51445 )| 27| Alagoas | 35| Sao Paulo | 376915
LINESTRING(-48.72482 -22.27669 , -37.44905 -10.58073 )| 28| Sergipe | 35| Sao Paulo | 159554
LINESTRING(-48.72483 -22.27670 , -41.70232 -12.46848 )| 29| Bahia | 35| Sao Paulo | 1702676
LINESTRING(-48.72484 -22.27671 , -44.6785 -18.46074 )| 31| Minas Gerais | 35| Sao Paulo | 1616885
LINESTRING(-48.72485 -22.27672 , -40.67183 -19.57655 )| 32| Espirito Santo | 35| Sao Paulo | 50117
LINESTRING(-48.72486 -22.27673 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 35| Sao Paulo | 217956
LINESTRING(-48.72487 -22.27674 , -51.62113 -24.63245 )| 41| Parana | 35| Sao Paulo | 1003286
LINESTRING(-48.72488 -22.27675 , -50.49239 -27.24414 )| 42| Santa Catarina | 35| Sao Paulo | 58980
LINESTRING(-48.72489 -22.27676 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 35| Sao Paulo | 79210
LINESTRING(-48.72490 -22.27677 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 35| Sao Paulo | 97493
LINESTRING(-48.72491 -22.27678 , -55.90972 -12.94403 )| 51| Mato Grosso | 35| Sao Paulo | 57096
LINESTRING(-48.72492 -22.27679 , -49.61787 -16.03579 )| 52| Goias | 35| Sao Paulo | 63195
LINESTRING(-48.72493 -22.27680 , -47.7973 -15.78271 )| 53| Distrito Federal | 35| Sao Paulo | 26032
LINESTRING(-51.62113 -24.63245 , -62.83912 -10.91219 )| 11| Rondonia | 41| Parana | 12928
LINESTRING(-51.62114 -24.63246 , -70.44996 -9.30596 )| 12| Acre | 41| Parana | 955
LINESTRING(-51.62115 -24.63247 , -64.69338 -4.18811 )| 13| Amazonas | 41| Parana | 2014
LINESTRING(-51.62116 -24.63248 , -61.39542 2.08035 )| 14| Roraima | 41| Parana | 1671
LINESTRING(-51.62117 -24.63249 , -53.08359 -3.94833 )| 15| Para | 41| Parana | 7368
LINESTRING(-51.62118 -24.63250 , -51.93312 1.46375 )| 16| Amapa | 41| Parana | 451
LINESTRING(-51.62119 -24.63251 , -48.31198 -10.1507 )| 17| Tocantins | 41| Parana | 997
LINESTRING(-51.62120 -24.63252 , -45.27821 -5.07629 )| 21| Maranhao | 41| Parana | 7529
LINESTRING(-51.62121 -24.63253 , -42.96225 -7.36778 )| 22| Piaui | 41| Parana | 5049
LINESTRING(-51.62122 -24.63254 , -39.6022 -5.1071 )| 23| Ceara | 41| Parana | 25675
LINESTRING(-51.62123 -24.63255 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 41| Parana | 5024
LINESTRING(-51.62124 -24.63256 , -36.83167 -7.12048 )| 25| Paraiba | 41| Parana | 12176
LINESTRING(-51.62125 -24.63257 , -37.97914 -8.32349 )| 26| Pernambuco | 41| Parana | 41669
LINESTRING(-51.62126 -24.63258 , -36.62442 -9.51445 )| 27| Alagoas | 41| Parana | 22491
LINESTRING(-51.62127 -24.63259 , -37.44905 -10.58073 )| 28| Sergipe | 41| Parana | 14185
LINESTRING(-51.62128 -24.63260 , -41.70232 -12.46848 )| 29| Bahia | 41| Parana | 66276
LINESTRING(-51.62129 -24.63261 , -44.6785 -18.46074 )| 31| Minas Gerais | 41| Parana | 192857
